model,method,delta,seed,converged,n_iterations,final_f,theta_error_norm,time_s
gst_small,FD,1.0,3,1,16,386.8758015726926,0.016896831607928178,6.31
gst_small,FD,1.0,4,1,18,386.87580508127576,0.016899744207396487,6.37
gst_small,FD,2.0,0,1,22,386.87580652697943,0.016891873636253087,8.89
gst_small,FD,2.0,1,1,17,386.87580157240154,0.016900502258359006,7.17
gst_small,FD,2.0,2,1,16,386.87580563517986,0.01689191907352015,7.6
gst_small,FD,2.0,3,1,23,386.8758068122552,0.016881840416915303,9.94
gst_small,FD,2.0,4,1,22,386.87581745837815,0.01700204381670317,10.99
gst_small,FD,3.0,0,1,20,386.87635472533293,0.019702479102944925,9.32
gst_small,FD,3.0,1,1,19,386.87580161966616,0.016894993642682887,8.34
gst_small,FD,3.0,2,1,17,386.8758015963249,0.016905637726829577,7.56
gst_small,FD,3.0,3,1,25,386.8758118287078,0.01685123877253476,11.14
gst_small,FD,3.0,4,1,26,386.8758613668033,0.01722599677090076,10.9
gst_small,FD,5.0,0,1,27,386.8758372859447,0.017180142744640834,12.63
gst_small,FD,5.0,1,1,23,386.87582589127123,0.017080632298539598,10.04
gst_small,FD,5.0,2,1,13,386.8758060930995,0.01692622448124401,5.48
gst_small,FD,5.0,3,0,0,nan,nan,8.33
gst_small,FD,5.0,4,1,34,386.87580364977475,0.016887780587089136,12.69
gst_small,FD,7.0,0,1,25,386.87584463279927,0.01706837506354963,10.35
gst_small,FD,7.0,1,1,25,386.8758261704934,0.016817737896636497,10.27
gst_small,FD,7.0,2,1,20,386.8758143001469,0.01700038639552925,8.74
gst_small,FD,7.0,3,1,50,386.875801588234,0.016899897910913977,26.69
gst_small,FD,7.0,4,1,28,386.8758016253123,0.016895442780710923,11.19
gst_small,FD,10.0,0,1,31,386.8758020559326,0.016908174474801075,11.45
gst_small,FD,10.0,1,1,23,386.87580484047066,0.016940786045978293,10.52
gst_small,FD,10.0,2,1,18,386.8758021700778,0.016920406998425473,7.44
gst_small,FD,10.0,3,0,0,nan,nan,0.05
gst_small,FD,10.0,4,0,0,nan,nan,5.66
